DIRECT_INFO_L 0 10122 0 5.377074
DIRECT_INFO_R 0 9969 0 5.295973
MODE: Multi
Time Resolution : 640000
Volume Resolution : 1000000
100Hz
L 14577 817 7.744082
L 14581 817 7.745978
L 14584 817 7.747882
L 14586 3174 7.748857
L 14588 817 7.749789
L 14591 816 7.751700
L 14595 816 7.753617
L 14599 816 7.755537
L 14602 816 7.757464
L 14606 816 7.759393
L 14610 815 7.761328
L 14613 815 7.763268
L 14617 815 7.765213
L 14621 815 7.767162
L 14624 815 7.769115
L 14628 814 7.771074
L 14632 814 7.773038
L 14635 814 7.775006
L 14639 814 7.776978
L 14643 814 7.778957
L 14646 813 7.780938
L 14650 813 7.782926
L 14654 813 7.784917
L 14658 813 7.786915
L 14661 813 7.788916
L 14665 812 7.790921
L 14669 812 7.792933
L 14673 812 7.794949
L 14674 3199 7.795341
L 14677 812 7.796969
L 14680 812 7.798994
L 14684 811 7.801024
L 14688 811 7.803060
L 14692 811 7.805099
L 14696 811 7.807144
L 14700 811 7.809194
L 14704 810 7.811248
L 14707 810 7.813307
L 14711 810 7.815371
L 14715 810 7.817441
L 14719 810 7.819513
L 14723 809 7.821593
L 14727 809 7.823676
L 14731 809 7.825764
L 14735 4025 7.827841
L 14739 809 7.829956
L 14743 809 7.832060
L 14747 808 7.834167
L 14751 808 7.836280
L 14755 808 7.838398
L 14759 808 7.840521
L 14763 808 7.842649
L 14767 807 7.844781
L 14771 807 7.846919
L 14775 807 7.849062
L 14779 807 7.851209
L 14783 807 7.853362
L 14787 807 7.855520
L 14791 806 7.857682
L 14795 806 7.859849
L 14798 3234 7.861570
L 14799 806 7.862022
L 14803 806 7.864199
L 14807 806 7.866382
L 14811 806 7.868569
L 14816 805 7.870762
L 14820 805 7.872961
L 14824 805 7.875164
L 14828 805 7.877369
L 14831 3243 7.878934
L 14832 805 7.879584
L 14836 804 7.881802
L 14841 804 7.884025
L 14845 804 7.886253
L 14849 804 7.888486
L 14853 804 7.890725
L 14857 804 7.892968
L 14862 803 7.895218
L 14864 3251 7.896634
L 14866 803 7.897471
L 14870 803 7.899731
L 14874 803 7.901995
L 14879 803 7.904263
L 14883 803 7.906539
L 14887 803 7.908819
L 14891 802 7.911104
L 14896 802 7.913394
L 14898 3260 7.914679
L 14900 802 7.915690
L 14904 802 7.917990
L 14909 802 7.920297
L 14913 802 7.922607
L 14918 801 7.924924
L 14922 801 7.927245
L 14926 801 7.929573
L 14931 801 7.931905
L 14935 801 7.934242
L 14939 801 7.936586
L 14944 800 7.938934
L 14948 800 7.941288
L 14953 800 7.943646
L 14957 800 7.946012
L 14962 800 7.948381
L 14966 800 7.950757
L 14971 800 7.953136
L 14975 799 7.955523
L 14980 799 7.957914
L 14984 799 7.960311
L 14989 799 7.962714
L 14993 799 7.965121
L 14998 799 7.967535
L 15002 799 7.969952
L 15004 3286 7.970964
L 15007 798 7.972376
L 15011 798 7.974806
L 15016 798 7.977242
L 15021 798 7.979682
L 15025 798 7.982128
L 15030 798 7.984580
L 15034 798 7.987038
L 15039 797 7.989501
L 15044 797 7.991969
L 15048 797 7.994443
L 15053 797 7.996923
L 15058 797 7.999408
L 15062 797 8.001900
L 15067 797 8.004395
L 15072 796 8.006898
L 15077 796 8.009406
L 15081 796 8.011920
L 15086 796 8.014441
L 15091 796 8.016964
L 15096 796 8.019495
L 15100 796 8.022032
L 15105 795 8.024574
L 15110 795 8.027122
L 15115 795 8.029676
L 15117 3313 8.030649
L 15120 795 8.032236
L 15124 795 8.034801
L 15129 795 8.037374
L 15134 795 8.039950
L 15139 795 8.042533
L 15144 794 8.045122
L 15149 794 8.047717
L 15154 794 8.050318
L 15155 3321 8.051340
L 15158 794 8.052925
L 15163 794 8.055538
L 15168 794 8.058157
L 15173 794 8.060780
L 15178 794 8.063412
L 15183 793 8.066048
L 15188 793 8.068690
L 15193 793 8.071339
L 15195 3330 8.072445
L 15198 793 8.073994
L 15203 793 8.076654
L 15208 793 8.079321
L 15213 793 8.081994
L 15218 793 8.084672
L 15223 792 8.087358
L 15228 792 8.090049
L 15233 792 8.092746
L 15238 792 8.095450
L 15244 792 8.098160
L 15249 792 8.100876
L 15254 792 8.103597
L 15259 792 8.106325
L 15264 791 8.109060
L 15269 791 8.111800
L 15274 791 8.114548
L 15280 791 8.117302
L 15285 791 8.120062
L 15290 791 8.122827
L 15295 791 8.125599
L 15300 791 8.128378
L 15306 791 8.131164
L 15311 790 8.133955
L 15316 790 8.136753
L 15322 790 8.139558
L 15327 790 8.142368
L 15332 790 8.145185
L 15337 790 8.148009
L 15343 790 8.150840
L 15348 790 8.153677
L 15353 790 8.156521
L 15359 789 8.159371
L 15362 3365 8.161190
L 15364 789 8.162228
L 15370 789 8.165092
L 15375 789 8.167960
L 15380 789 8.170836
L 15386 789 8.173719
L 15391 789 8.176610
L 15397 789 8.179506
L 15402 789 8.182409
L 15406 3374 8.184507
L 15408 789 8.185320
L 15413 788 8.188236
L 15419 788 8.191160
L 15424 788 8.194092
L 15430 788 8.197028
L 15435 788 8.199972
L 15441 788 8.202924
L 15446 788 8.205881
L 15452 788 8.208846
L 15458 788 8.211817
L 15463 788 8.214796
L 15469 787 8.217781
L 15474 787 8.220775
L 15480 787 8.223774
L 15486 787 8.226780
L 15491 787 8.229794
L 15497 787 8.232815
L 15503 787 8.235843
L 15508 787 8.238876
L 15514 787 8.241919
L 15520 787 8.244968
L 15526 787 8.248025
L 15531 786 8.251089
L 15537 786 8.254160
L 15543 786 8.257236
L 15549 786 8.260323
L 15555 786 8.263415
L 15560 786 8.266516
L 15566 786 8.269623
L 15572 786 8.272738
L 15578 786 8.275860
L 15584 786 8.278989
L 15590 786 8.282126
L 15591 3408 8.282623
L 15596 785 8.285271
L 15602 785 8.288423
L 15608 785 8.291582
L 15614 785 8.294747
L 15620 785 8.297923
L 15626 785 8.301105
L 15632 785 8.304295
L 15638 785 8.307491
L 15644 785 8.310698
L 15650 785 8.313910
L 15656 785 8.317130
L 15662 785 8.320358
L 15668 784 8.323594
